Func1,Func2,Func3,Func4,Func5,Func6,Func7,Func8,Func9,Func10,Func11,Func12,Func13,Func14,Func15,Func16,Func17,Func18,Func19,Func20,Func21,Func22,Func23,Func24,Func25,Func26,Func27,Func28,Func29,Func30,Func31,Func32,Func33,Func34,Func35,Func36,Func37,Func38,Func39,Func40,Func41,Func42,Func43,Func44,Func45,Func46,Func47,Func48,Func49,Func50,Func51,Func52,Func53,Func54,Func55,Func56,Func57,Func58,Func59,Func60,Func61,Func62,Func63,Func64,Func65,Func66,Func67,Func68,Func69,Func70,Func71,Func72
7432.249784,22823.35815,1635.847092,2934.845947,6226.488352,1452.565908,2170.717716,1830.11961,1912.692308,1121.401548,5587.981939,2457.314253,998.5284805,1327.09837,11186.79762,23091.04395,5763.139009,3667.032242,2566.771269,11610.36348,1274.719954,72960.96444,1103.888988,1025.185585,28190.67454,7465.19208,2859.025002,4033.914328,1079.13661,30566.37692,12317.97576,1039.62183,2013.031006,6745.62192,2813.755274,41784.73139,1162.983418,3030.010223,2758.132696,16447.83616,7448.474646,16095.6378,16783.84876,589067.2114,1204.073429,46801.60975,4656.247854,1514.609337,1446.025133,7598.611116,2934.15918,2370.563232,3481.589111,1626.556873,1168.072462,1118.415117,2250.897646,5600.707769,6850.893259,1966.350555,2877.230644,2418.917179,1078.002453,2260.64539,2381.315947,1510.802746,1391.946793,1330.888033,1634.943485,3883.138657,1861.362696,5492.917299
7197.292566,21492.63867,1623.55566,2564.382813,8632.55167,1472.32914,1867.520809,1879.042149,1879.488945,1111.78565,5590.622902,2495.140314,1024.94669,1320.360184,9337.425947,21877.51007,5880.45764,3689.507008,2489.961386,6987.51235,1273.447275,74932.9586,1134.65333,1393.434048,27822.2487,6956.340313,2937.075615,4027.324677,1093.053102,30358.34813,12437.36959,1027.860403,1978.351593,6710.707903,2817.867756,39296.94343,1167.493105,2949.464321,2893.493652,16366.05644,6888.032675,15377.32577,17927.92368,568767.5159,1064.77499,46217.6249,4273.925781,1487.109423,1397.97473,7659.134626,2698.077881,2186.045898,3671.318848,1799.121141,1160.182238,1148.844004,2129.583359,5541.526556,6823.748112,1984.946728,2853.45006,2265.478849,1086.054087,2312.427521,2469.441414,1424.872637,1384.436369,1393.088341,1656.49581,3894.798517,1828.507662,6349.933386
7159.669399,21594.20508,1579.300642,2724.302979,6265.800476,1435.179472,1943.408012,1805.523157,1850.852966,1099.185467,5350.272894,2491.005182,1142.599583,1373.701572,9431.223869,24727.37646,6412.63485,3458.482027,2496.022463,6684.225321,1239.546776,70607.8639,1175.579309,1060.573101,27750.81849,7061.279535,2935.662985,4045.221806,1096.553564,31070.92953,12204.60677,1096.003056,2346.040249,6686.582565,2789.381504,39726.08972,1234.283686,3015.79833,2727.151155,15087.97383,6981.74572,16467.1185,17200.34814,585234.607,1033.750534,45983.49833,4729.850054,1523.893595,1335.859537,7480.001211,2915.968994,2055.783936,3614.993164,1689.344645,1123.154879,1149.953842,2167.319775,5575.563669,7021.519661,1948.524952,2878.225088,2289.606333,2511.782646,2144.468069,2331.837416,1406.244516,1314.295769,1279.932737,1601.27759,3861.755371,1880.259991,5436.60593
7163.004637,21823.41138,1608.766317,2557.983887,5871.879816,1426.805496,1829.392433,2002.658844,1910.3055,1399.086714,5353.107452,2449.513197,1003.973961,1375.808954,9370.900154,22206.21896,5683.095217,3363.16061,2385.874033,6847.325325,1584.085703,71501.33777,1100.462914,1019.645929,28383.35156,7212.157726,2818.547249,4016.158819,1381.249189,30659.36255,12367.20347,1093.271494,2033.935308,7528.316975,3110.280752,39810.56952,1200.318575,2879.893303,2782.719851,14861.47118,6904.266357,16971.41933,17265.3954,591455.1389,1087.445498,45914.39891,4777.740955,1538.133621,1356.809378,7275.889874,2686.073975,2192.937988,3817.59082,1658.480644,1145.634174,1146.965027,2534.07073,5454.985857,6110.425711,1966.735363,2925.170898,2315.896034,1067.819118,2174.053192,2316.43486,1443.567276,1380.084276,1248.619318,1540.194988,3957.772255,1801.283598,5149.246216
7178.014994,21970.36987,1800.326109,2643.155273,5999.421597,1447.26038,1921.108723,1766.740322,1897.803545,1085.225344,5355.18074,2425.665379,1006.068707,1340.336323,9343.221664,22349.76053,5847.853899,3378.892422,2552.109003,7174.943209,1303.84326,76131.87385,1148.070335,1070.39237,26910.64692,7608.512402,2997.542381,4283.915997,1071.631193,30685.33206,12346.43245,1003.670216,2036.402464,6772.902012,2845.751762,39764.57477,1169.168949,3004.526377,3075.791121,15863.68155,6991.955996,16281.40521,17102.49066,595179.7273,1092.06748,46786.14235,4743.744612,1518.853903,1338.779449,7777.709246,2596.815186,2255.539795,3779.184082,1689.751148,1127.45285,1108.318329,2172.771215,5038.820505,6784.795046,1979.372978,2840.830326,2376.132488,1048.959732,2265.223742,2367.352724,1412.750006,1363.17277,1467.365026,1577.49033,3607.0683,1796.465158,5501.796961
7221.267223,24772.00391,2320.82653,2561.081787,5978.752136,1447.216272,1845.850468,1873.637438,1897.707939,1087.63814,5383.110285,2492.398024,1040.717125,1313.252211,9357.010603,21881.75893,5789.15453,3483.823538,2516.183615,6940.432787,1255.537987,72337.51988,1178.295851,1035.702229,27993.40487,7049.441338,2817.569256,4053.94125,1086.468697,30727.39315,12507.12347,1029.422045,2073.750496,6843.235016,2841.950893,39996.41967,1253.539801,3160.598516,3005.228281,15196.21301,6650.767803,15980.92437,16931.77056,551880.8393,1039.605141,46025.35582,4440.556526,1488.664389,1356.348515,8606.140852,2500.711914,2040.153076,3539.60498,1628.426552,1174.474239,1114.851475,2197.613955,5581.618547,6440.325975,1978.547096,3209.373474,2570.914984,1759.696484,2126.646996,2245.689154,1405.174494,1328.258991,1247.946739,1602.029562,3926.617384,1821.561575,5449.953318
7122.884274,21512.08008,1682.559967,2550.337158,6020.849228,1469.42544,1741.732359,1820.164442,1898.419619,1085.010767,5368.671894,2392.662287,1016.958475,1336.345673,9301.44763,22296.45467,6306.438923,3502.748013,2582.32832,6742.540836,1285.789013,71331.01606,1106.122494,1018.927574,29286.24654,7466.185808,2775.85721,4112.460136,1086.59482,30548.22731,12530.39765,1000.371218,1975.524664,6827.686548,2963.602543,41849.73121,1203.470945,3049.767256,2850.807667,15231.0226,6679.298162,16205.24764,16239.32219,585889.4813,1055.295229,45754.4744,4275.029421,1484.579802,1364.389658,7072.07942,2801.61377,2139.426025,3691.216064,1673.312426,1143.449306,1160.347939,2123.446465,5345.803499,6769.720554,2284.256935,2896.818161,2262.009621,1067.03949,2171.781063,2245.198727,1428.935289,1357.465982,1307.095289,1583.440065,4114.17675,1917.409182,5457.990408
7140.372038,20751.28809,1622.722149,2415.472412,6236.944914,1462.215185,1913.735151,1821.578264,1935.427904,1159.734011,5480.692148,2454.207659,999.5951653,1457.432985,9631.102085,22761.14631,5981.822729,3665.305138,2522.776842,6757.930279,1591.435909,73734.84635,1118.963957,1044.540644,28392.9193,6925.60339,2843.758106,4124.43614,1135.153294,30730.09992,12473.6228,1323.063374,1964.580536,6904.599905,2786.475897,40044.82722,1193.129301,3303.606749,2907.72891,15082.15141,6775.292635,16338.58418,17184.53717,592372.3891,1095.086336,46359.09295,4412.929296,1546.614885,1344.686031,7526.223183,2759.11792,2150.299805,3484.333008,1544.510603,1132.027388,1160.045147,2159.734964,5553.318024,6414.722681,1920.462847,3160.239935,2414.752483,1034.414053,2351.653814,2299.960375,1530.978918,1345.725536,1255.809784,1387.365818,3827.040911,1869.385958,6204.046249
7211.145163,21580.84229,1677.45471,2762.246826,6045.8498,1473.351002,2172.238827,1710.957766,1899.148703,1105.494499,5409.483671,2406.382322,1024.530411,1404.471397,9386.96599,21938.59053,5749.438524,3676.849365,2509.522438,6826.192617,1248.931408,71959.10764,1153.564692,1358.931065,28950.9201,7051.265717,2929.253101,4086.409092,1079.796076,30375.15473,12554.21066,1063.887119,2145.599127,6591.701984,2873.497009,39809.95607,1130.115032,3039.138556,2800.916195,14658.24676,6637.725592,16643.96334,16347.56136,575580.5578,1078.371763,45099.56789,4428.939819,1509.77087,1548.783541,7456.695557,2720.574951,2344.818115,3871.760986,1690.953016,1174.342632,1144.351482,1958.944321,5356.994152,6505.930901,2031.576633,2818.150043,2332.282066,1880.407333,2566.259384,2370.07618,1426.736116,1323.024273,1366.794586,1683.052778,3678.486824,1897.10474,5369.626999
7187.444448,22022.35791,1642.318487,2412.242188,6002.444506,1516.002417,1904.568195,1762.215614,1876.092196,1135.889769,5371.344566,2506.222486,1019.598246,1316.537142,9352.234602,22034.3523,5957.707405,3999.295235,2841.172457,6669.233561,1261.390924,71307.4429,1094.599009,1024.893761,27438.64179,7386.83629,2808.666229,4014.168739,1109.769583,30815.54317,12538.58495,1011.556625,2018.835306,7146.946907,2835.748672,37429.49295,1136.970282,2833.362341,2959.936619,14786.64112,6715.124607,16347.06497,17237.86569,580575.855,1060.751438,45819.77463,4484.77149,1959.508896,1612.385511,7392.306328,3014.865234,2239.493164,3805.286133,1600.52681,1127.1348,1471.03858,2233.624697,5452.49176,6012.762547,1806.315899,2941.167831,2279.539347,1370.553732,2259.114742,2263.656139,1401.166201,1388.004541,1367.190123,1567.436934,3710.645437,1776.842356,5499.361753
