Func1,Func2,Func3,Func4,Func5,Func6,Func7,Func8,Func9,Func10,Func11,Func12,Func13,Func14,Func15,Func16,Func17,Func18,Func19,Func20,Func21,Func22,Func23,Func24,Func25,Func26,Func27,Func28,Func29,Func30,Func31,Func32,Func33,Func34,Func35,Func36,Func37,Func38,Func39,Func40,Func41,Func42,Func43,Func44,Func45,Func46,Func47,Func48,Func49,Func50,Func51,Func52,Func53,Func54,Func55,Func56,Func57,Func58,Func59,Func60,Func61,Func62,Func63,Func64,Func65,Func66,Func67,Func68,Func69,Func70,Func71,Func72
6802.610159,19904.56787,1157.568216,2699.116943,3835.201979,1015.083313,799.9732494,811.5668297,1672.693729,895.5299854,5255.055189,938.5633469,792.6757336,1215.323925,6973.388195,20563.39145,2617.320299,875.440836,1336.756945,4125.716209,804.4908047,68330.07956,1011.23786,833.2931995,25183.91871,4914.79373,1654.308558,1968.048811,815.0217533,121712.9064,10218.03284,824.1269588,1993.478537,6097.104549,1095.309496,37215.5695,1029.031992,1055.033684,1114.647627,11055.89294,1494.636774,10564.15439,14089.02216,581673.6164,802.4873734,44132.50756,3090.886116,863.2297516,835.321188,1584.989786,6738.75293,1570.697998,3239.90625,1198.190212,799.612999,813.0626678,813.4043217,1375.673771,3054.616451,1016.530037,2657.815933,862.6570702,819.9574947,886.2636089,1346.969843,895.9829807,836.7516994,913.0344391,944.7467327,2318.575859,834.8932266,3414.305687
6805.373669,19958.802,1156.464815,2307.970703,4538.62381,1035.014153,818.3290958,814.2361641,1672.202587,922.7762222,5136.681795,1275.279284,803.8208485,995.5191612,7099.675894,19912.29248,2557.299376,835.4520798,1313.569307,4375.869036,792.3219204,73160.1429,852.8342247,812.0896816,24858.1953,4835.644007,1655.496836,1982.853651,854.3701172,121157.6078,10372.02907,815.1268959,1656.913757,5954.169273,1133.179903,36954.21839,796.9708443,1076.433182,1432.170391,10994.45438,1493.471146,39223.33264,15158.24986,579473.2075,802.1121025,44254.26483,2558.670521,862.9233837,831.6299915,1658.27322,6580.891113,1809.415283,3327.728027,1148.565054,796.5452671,838.6559486,813.9588833,1354.312658,3054.616451,1032.815933,2577.232361,897.6955414,802.2787571,895.9445953,1339.767694,888.010025,876.2483597,853.6653519,832.480669,2226.870537,813.7903214,3560.905695
6813.827038,20033.38013,1154.71983,2557.625977,4255.129099,1018.867493,794.1641808,815.0987625,1652.88496,915.1403904,5236.417532,954.7095299,1115.236759,994.738102,7046.539545,21232.48911,2622.40696,856.2400341,1614.875078,3915.447235,836.5776539,69706.45714,826.3809681,1067.347288,24254.143,4850.477695,1673.571348,1995.274067,796.4587212,121615.499,10349.50876,795.427084,1696.94519,6034.438133,1114.40897,36434.45516,847.4128246,1073.669434,1132.624388,9796.525478,1554.195404,10297.95027,14797.37616,601014.3516,807.0261478,44435.72235,3439.531803,858.6285114,852.8363705,1623.543501,7103.057129,1797.741699,3765.95874,1214.275837,803.8201332,798.2103825,799.6025085,1356.659412,2032.586575,996.5584278,2652.77791,897.4437714,1605.539799,909.6903801,1382.18689,861.9122505,949.6417046,934.6196651,839.0173912,2261.884212,953.8531303,3459.340811
6812.46686,19788.16895,1176.043987,2423.901611,3775.995731,1117.16485,813.699007,799.5495796,1654.549837,895.1029778,5120.472431,953.8567066,805.3379059,1012.179136,7220.944166,19889.21022,2782.210827,838.023901,1315.551996,4074.420452,803.1182289,69863.00087,816.0500526,851.695776,25223.57416,4814.310551,1754.145145,1956.253767,814.801693,121999.6881,10277.34303,797.7437973,1675.273418,6935.885668,1155.731916,36376.16849,800.3559113,1074.131012,1155.614138,11154.8152,1477.422476,9765.949011,14397.09401,600934.305,821.7294216,43994.43221,2997.2229,1165.204048,814.9137497,1891.552687,6635.95874,1762.705811,3639.199951,1189.274311,806.5638542,801.9580841,797.0542908,1373.525381,1983.716488,1014.078379,2673.718214,894.7091103,798.7465858,961.5380764,1408.057451,858.8359356,993.432045,874.6447563,821.2866783,2228.820324,833.4982395,3243.375301
7113.210678,19863.39282,1195.510626,2745.114746,3736.151218,1018.069029,816.259861,797.3172665,1636.728525,897.6538181,5117.070198,956.2790394,801.5313148,1015.416384,7159.16419,20087.37636,2469.034672,836.1446857,1292.77873,4083.531618,798.0458736,67590.36732,814.1758442,833.4112167,24232.53679,4935.604095,1751.818895,1933.756828,834.4318867,62217.51952,10583.43697,858.1933975,1653.07045,6152.459383,1775.015116,36996.78564,798.8052368,1093.241215,1118.943214,9996.268034,1493.75391,10334.13482,14986.08899,600960.1343,810.3003502,45932.92952,2425.954819,876.7721653,853.8885117,1629.345894,5910.360107,1722.583984,3438.111084,1209.179878,811.9568825,895.9226608,794.0425873,1374.965668,2003.60322,1014.789104,2616.157055,894.8297501,796.9737053,884.739399,1366.36138,957.5698376,878.3242702,949.0623474,852.355957,2066.867113,858.1085205,3500.865459
6803.891182,19967.92065,1178.201199,2610.994873,3794.014454,1015.214205,814.3718243,793.4136391,1635.417223,1151.551247,5138.386011,954.8642635,810.7037544,1054.891825,7112.193108,19819.90552,2462.043762,833.5244656,1335.236311,4216.638088,816.5910244,68577.90208,800.3766537,815.2518272,25009.69434,4813.942909,1774.322987,1917.762518,825.0977993,122954.628,10248.86322,836.4822865,1674.218655,6113.307476,1176.724434,35642.7114,828.8373947,1053.241968,1133.723736,9814.878464,1816.186666,10640.78164,15638.94677,561059.1216,826.1671066,44713.61828,2675.644636,889.9247646,835.1659775,1628.366232,5809.909912,1455.647949,3236.00415,1414.852381,815.7067299,815.747261,810.8267784,1395.297766,1921.153307,1075.41728,2674.110889,874.122858,1134.249449,901.144743,1308.436155,845.0009823,842.1871662,876.5180111,826.0140419,2314.754725,836.3890648,3408.365965
6806.338787,19840.32007,1213.989258,2319.036865,3974.692583,1015.679598,867.5272465,793.6935425,1655.569315,914.5750999,5134.945154,933.1412315,796.8702316,994.5037365,7069.195986,19932.7023,2673.721313,837.9392624,1355.349302,4015.289545,813.0402565,69598.19078,814.7132397,813.5097027,25705.33872,4874.179125,1751.014948,1934.160948,815.9546852,121417.5606,10636.69467,795.8593369,1694.953918,6253.567934,1155.098438,37837.22305,812.6146793,1090.982914,1134.48,9974.575043,1509.956121,10337.41522,14358.01888,595672.8008,815.7091141,44894.33646,3059.005022,859.8217964,834.7854614,1553.000689,6846.341797,1585.735352,3238.021973,1376.277208,800.2147675,813.028574,814.6328926,1354.462624,1985.951424,1051.206589,2673.77758,896.8610764,814.9991035,920.124054,1287.228584,941.4517879,836.3111019,854.1202545,854.6590805,2348.776817,856.5487862,3392.619371
6806.798458,20232.45996,1157.368898,2255.366699,3776.025295,1014.739275,1039.234877,798.3591557,1654.626846,913.7599468,5169.938803,934.7884655,797.7075577,972.0554352,7376.48797,20401.64852,2587.901831,857.7945232,1332.927704,4173.03443,816.1940575,71284.54304,814.9793148,797.3849773,24854.44045,4813.315153,1974.218845,1913.607121,815.0527477,122857.1672,10406.10075,819.2920685,1692.26861,6074.064255,1133.174658,36731.83155,794.8536873,1073.898315,1118.009567,10043.85662,1455.811739,10628.0663,14493.49046,570500.4594,802.8223515,44200.39463,2576.169491,899.6214867,835.6063366,1606.839418,6965.599854,1600.359863,3448.014893,1193.454981,796.1819172,799.4921207,814.8467541,1356.153011,1977.314711,1015.332699,2656.710863,877.7427673,793.0319309,950.0443935,1348.001003,839.9021626,961.9202614,874.5229244,926.0029793,2048.461437,858.8151932,3592.508316
6809.691191,20032.59302,1175.714493,2616.367188,3686.319351,1013.571024,811.8135929,1014.414549,1656.270266,893.6715126,5155.332327,936.0916615,829.5993805,1014.878988,7137.895107,20107.61166,2519.537687,837.0418549,1514.085293,4175.66061,809.6065521,71057.98674,812.2467995,814.2080307,25355.726,4794.166565,1954.333305,1868.517399,814.3758774,122995.5637,10497.33496,814.7227764,1694.662333,6116.156101,1131.133556,37095.29138,801.4383316,1110.227823,1154.425383,10055.21584,1497.31493,10278.373,14366.18686,592494.5216,799.1440296,44416.44645,3134.883642,848.2441902,872.7197647,1629.146576,6006.674072,2018.281982,3461.320801,1411.628485,835.6695175,856.2602997,810.7199669,1282.28569,2009.407282,1016.120434,2634.724379,896.1150646,1164.560795,916.2671566,1364.021778,953.905344,845.3536034,974.7867584,953.8943768,2069.56625,849.7822285,3414.461851
6804.850578,20018.31812,1190.107822,2422.104248,3654.328108,1056.176186,814.884901,813.457489,1616.73665,1107.679367,5155.802488,1194.575071,789.6020412,1267.636299,7609.686613,20311.6827,2488.202333,856.5657139,1352.454901,4055.029392,818.0625439,70183.27069,811.2440109,813.5597706,24775.98453,5233.429909,1714.998245,1963.978291,812.6814365,121222.0535,10670.39251,1150.401592,1636.88302,6134.388447,1374.176264,36378.07035,1067.924738,1073.152065,1177.314043,9734.029531,1494.809389,10500.48375,14747.7994,597026.4783,797.6608276,44658.57887,2254.281044,1136.237621,815.8679008,1531.965017,6013.907959,1881.158691,3581.759766,1112.622023,793.2379246,803.9431572,794.5179939,1377.020121,1950.568438,995.3129292,2834.793091,857.3064804,814.98909,911.4944935,1409.543753,834.5649242,825.5102634,845.1080322,841.6938782,2162.415743,856.1742306,3374.98188
